name,id,version,publisher,installed_from,permissions_summary,enabled,last_used_notes,decision
Google Docs Offline,ghbmnnjooekpmoecnnnilnnbdlolhkhi,1.94.1,Google,Chrome Web Store,Edit/create/view docs offline,true,Used often,keep
React Developer Tools,fmkadmapgofadopljbjfkapdkoienihi,6.1.5,Meta,Chrome Web Store,React debugging tools,true,Used for development,keep
